is Elon Musk,created at,source,possibly sensitive,lang,has_text,has_link,has_hashtag,has_at,has_emoji,sentiment,subjectivity,retweet count,reply count,like count,quote count
1,2022-05-09 00:51:26+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.3,1.0,174507,148800,1897053,42408
1,2022-05-09 00:45:05+00:00,Twitter for iPhone,0,en,1,0,0,0,0,-0.3125,0.6875,12384,12648,153705,2231
1,2022-05-09 00:40:57+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,8909,9284,109822,982
1,2022-05-07 12:37:25+00:00,Twitter for iPhone,0,en,1,0,0,0,0,-0.1458333333333333,0.5333333333333333,11306,12760,200026,1647
1,2022-05-06 16:10:46+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.6083333333333334,0.4208333333333333,24637,12275,266334,4029
1,2022-05-06 15:33:10+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,10305,8297,148177,602
1,2022-05-06 15:14:54+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.3333333333333333,0.6666666666666666,34519,28905,385008,3621
1,2022-05-04 20:32:01+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.375,0.375,25194,14466,151477,2344
1,2022-05-04 11:03:33+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,29642,34361,465281,5259
1,2022-05-03 23:19:37+00:00,Twitter for iPhone,0,en,1,0,0,0,0,-0.0888888888888889,0.6111111111111112,31037,19032,411175,6579
1,2022-05-03 20:00:53+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,1.0,30754,24840,420524,4764
1,2022-05-03 19:35:33+00:00,Twitter for iPhone,0,en,1,0,0,0,0,1.0,0.3,37406,15373,398761,3382
1,2022-05-03 19:34:55+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,53505,22670,383804,4043
1,2022-05-02 19:00:20+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,102585,53803,1328692,10033
1,2022-05-02 18:12:19+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,28354,23036,410473,3112
1,2022-05-01 06:23:15+00:00,Twitter for iPhone,0,en,1,0,0,0,0,-0.1333333333333333,0.3,109615,43601,1100681,9464
1,2022-04-29 12:44:05+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0698412698412698,0.6003968253968254,46945,42923,806478,6606
1,2022-04-29 12:28:10+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.05,0.5,120973,62818,1179205,17802
1,2022-04-28 20:58:09+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.25,0.7000000000000001,20773,14454,424929,2324
1,2022-04-28 20:53:49+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.8,0.7,42771,34420,624737,6188
